                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.83522,                0.79345,                 1.2262,                 0.7087,                0.71648,                0.75722,                0.51377,                 1.2409,                 1.1821,                 1.6601,               0.003928,               0.003928,               0.003928
                     94,                0.83456,                0.78575,                 1.2228,                0.69926,                0.70935,                0.74205,                0.50473,                 1.2334,                 1.2161,                 1.6501,               0.003862,               0.003862,               0.003862
                     95,                0.82126,                0.76893,                 1.2172,                0.68655,                0.72148,                0.76064,                0.51332,                 1.2463,                 1.1773,                 1.6642,               0.003796,               0.003796,               0.003796
                     96,                0.80905,                0.74457,                  1.204,                0.66887,                 0.7422,                 0.7304,                0.49298,                 1.2256,                 1.1962,                 1.6174,                0.00373,                0.00373,                0.00373
                     97,                0.80165,                0.75718,                  1.198,                0.75053,                0.66044,                0.74714,                0.50792,                 1.2081,                 1.2139,                 1.6174,               0.003664,               0.003664,               0.003664
                     98,                0.81095,                0.74678,                 1.2082,                0.77066,                0.65514,                0.73143,                0.50134,                 1.2133,                 1.2172,                 1.6168,               0.003598,               0.003598,               0.003598
                     99,                0.81745,                0.75767,                 1.2121,                0.67825,                0.73597,                0.74091,                 0.5078,                 1.2082,                 1.1912,                  1.616,               0.003532,               0.003532,               0.003532
                    100,                0.80958,                0.72691,                 1.1994,                0.70069,                0.72317,                0.74581,                0.50413,                 1.2085,                 1.1648,                 1.6054,               0.003466,               0.003466,               0.003466
                    101,                0.80775,                0.74352,                 1.2011,                0.69504,                0.71811,                 0.7394,                0.50982,                  1.206,                 1.2002,                 1.6161,                 0.0034,                 0.0034,                 0.0034
                    102,                0.80145,                0.74787,                 1.2022,                0.73429,                0.66906,                0.74272,                0.50515,                 1.1997,                 1.2071,                 1.6125,               0.003334,               0.003334,               0.003334
                    103,                0.80757,                0.74651,                 1.2054,                0.71807,                0.70182,                0.75354,                0.51403,                 1.2216,                 1.1734,                 1.6371,               0.003268,               0.003268,               0.003268
                    104,                0.77214,                0.70994,                 1.1804,                0.70541,                0.69251,                0.73184,                0.50006,                 1.2111,                 1.2123,                 1.6341,               0.003202,               0.003202,               0.003202
                    105,                 0.7899,                0.71601,                 1.1838,                0.68755,                0.69712,                0.73249,                0.50697,                 1.2128,                 1.2193,                 1.6206,               0.003136,               0.003136,               0.003136
                    106,                0.79415,                 0.7268,                 1.1957,                 0.7111,                0.67379,                0.73352,                0.50068,                 1.2287,                 1.1896,                 1.6489,                0.00307,                0.00307,                0.00307
                    107,                0.77941,                0.70754,                 1.1939,                0.71378,                0.71114,                0.74688,                0.51576,                  1.202,                 1.1269,                 1.6118,               0.003004,               0.003004,               0.003004
                    108,                0.77809,                0.72954,                 1.1802,                0.69644,                0.70178,                0.73589,                0.50787,                  1.213,                   1.21,                 1.6268,               0.002938,               0.002938,               0.002938
                    109,                0.76456,                0.69736,                 1.1792,                0.66308,                0.75839,                0.75637,                0.52017,                 1.2108,                 1.1865,                 1.6146,               0.002872,               0.002872,               0.002872
                    110,                0.76887,                0.70753,                 1.1784,                 0.7569,                0.66151,                0.73955,                 0.5085,                 1.2155,                 1.1825,                 1.6392,               0.002806,               0.002806,               0.002806
                    111,                0.77336,                0.69345,                 1.1773,                0.67113,                0.72113,                0.74993,                0.51351,                  1.227,                 1.2023,                 1.6424,                0.00274,                0.00274,                0.00274
                    112,                0.76191,                0.70507,                 1.1823,                0.67293,                0.72805,                0.76158,                0.51928,                 1.2361,                 1.1539,                 1.6506,               0.002674,               0.002674,               0.002674
                    113,                0.75594,                0.68524,                 1.1714,                0.71432,                0.68871,                0.75351,                 0.5132,                 1.2218,                 1.1979,                 1.6479,               0.002608,               0.002608,               0.002608
                    114,                0.75709,                0.67542,                 1.1779,                 0.6952,                0.69817,                0.75151,                0.50325,                  1.248,                 1.1789,                 1.6557,               0.002542,               0.002542,               0.002542
                    115,                 0.7725,                0.68992,                 1.1734,                0.69959,                0.67635,                  0.732,                0.50566,                 1.2326,                 1.1952,                 1.6594,               0.002476,               0.002476,               0.002476
                    116,                 0.7564,                0.69048,                 1.1717,                0.72538,                0.68545,                0.74316,                 0.5048,                 1.2246,                 1.2497,                 1.6663,                0.00241,                0.00241,                0.00241
                    117,                0.74861,                 0.6903,                 1.1776,                0.73131,                0.68916,                0.74496,                 0.5056,                 1.2131,                   1.18,                 1.6331,               0.002344,               0.002344,               0.002344
                    118,                0.75592,                0.68098,                 1.1632,                0.72284,                0.72798,                0.76807,                0.52094,                  1.209,                  1.106,                 1.6335,               0.002278,               0.002278,               0.002278
                    119,                0.74091,                0.65685,                 1.1596,                 0.7426,                 0.6937,                 0.7641,                0.53357,                 1.2125,                 1.1596,                 1.6454,               0.002212,               0.002212,               0.002212
                    120,                0.74559,                0.66048,                 1.1556,                0.74529,                0.72505,                0.77045,                0.52694,                 1.2175,                 1.1527,                  1.633,               0.002146,               0.002146,               0.002146
                    121,                0.73995,                0.66603,                 1.1617,                0.66884,                0.76985,                0.75221,                0.50789,                 1.2341,                    1.2,                 1.6658,                0.00208,                0.00208,                0.00208
                    122,                0.74173,                0.66765,                 1.1719,                0.73657,                0.67758,                0.76095,                0.52516,                   1.22,                 1.2059,                 1.6428,               0.002014,               0.002014,               0.002014
                    123,                0.73501,                 0.6386,                 1.1521,                0.73953,                0.67376,                0.75488,                0.51845,                 1.2203,                 1.1887,                 1.6408,               0.001948,               0.001948,               0.001948
                    124,                0.73436,                0.63707,                 1.1538,                0.74674,                0.69456,                0.75919,                0.51599,                 1.2226,                 1.1616,                 1.6502,               0.001882,               0.001882,               0.001882
                    125,                0.73758,                0.64013,                  1.154,                0.68923,                0.70872,                0.74858,                0.51265,                 1.2361,                 1.1696,                 1.6626,               0.001816,               0.001816,               0.001816
                    126,                0.72527,                0.65385,                 1.1467,                0.66638,                 0.7466,                0.75264,                0.51252,                 1.2293,                 1.1498,                 1.6448,                0.00175,                0.00175,                0.00175
                    127,                0.71485,                0.63608,                 1.1469,                0.73014,                0.70226,                0.75377,                0.51177,                 1.2259,                 1.1717,                 1.6509,               0.001684,               0.001684,               0.001684
                    128,                0.71825,                0.62453,                 1.1383,                0.70622,                0.72722,                0.74984,                0.51883,                 1.2202,                 1.1701,                  1.649,               0.001618,               0.001618,               0.001618
                    129,                0.70398,                 0.6237,                 1.1417,                0.71244,                0.70363,                0.75149,                0.52108,                 1.2184,                 1.1597,                 1.6503,               0.001552,               0.001552,               0.001552
                    130,                0.70329,                0.62984,                  1.143,                0.73724,                0.70219,                 0.7566,                 0.5224,                 1.2288,                 1.1501,                 1.6594,               0.001486,               0.001486,               0.001486
                    131,                0.70599,                0.63153,                 1.1469,                0.71302,                0.72157,                0.75251,                 0.5257,                 1.2145,                 1.1452,                 1.6423,                0.00142,                0.00142,                0.00142
                    132,                0.70677,                0.61912,                  1.145,                0.72308,                0.69366,                 0.7485,                0.51914,                 1.2255,                 1.1882,                 1.6583,               0.001354,               0.001354,               0.001354
                    133,                 0.7089,                 0.6114,                 1.1345,                0.76929,                0.67765,                0.75563,                0.52614,                 1.2144,                  1.153,                 1.6532,               0.001288,               0.001288,               0.001288
                    134,                0.70385,                 0.6242,                 1.1413,                0.71843,                0.72154,                0.75577,                0.52127,                 1.2125,                 1.1677,                 1.6455,               0.001222,               0.001222,               0.001222
                    135,                0.69741,                0.60295,                 1.1339,                 0.7271,                0.69042,                0.74254,                0.51553,                 1.2226,                 1.1961,                 1.6547,               0.001156,               0.001156,               0.001156
                    136,                0.69435,                0.60164,                 1.1293,                0.70698,                0.70563,                0.74868,                0.52208,                 1.2173,                 1.2108,                 1.6608,                0.00109,                0.00109,                0.00109
                    137,                0.68314,                 0.6016,                 1.1211,                0.69938,                0.71358,                0.74037,                0.51616,                 1.2225,                 1.1829,                 1.6764,               0.001024,               0.001024,               0.001024
                    138,                0.68607,                0.58908,                  1.119,                0.72029,                0.69117,                0.74104,                0.51026,                 1.2187,                 1.2168,                 1.6736,               0.000958,               0.000958,               0.000958
                    139,                0.67829,                0.58603,                 1.1167,                0.71001,                0.71952,                0.74796,                 0.5171,                 1.2222,                 1.1667,                 1.6695,               0.000892,               0.000892,               0.000892
                    140,                0.60108,                0.50772,                 1.1072,                0.72973,                0.70167,                 0.7396,                0.50838,                 1.2333,                 1.1624,                 1.6876,               0.000826,               0.000826,               0.000826
                    141,                0.59479,                0.49828,                 1.0979,                0.69041,                 0.7275,                0.75069,                0.51444,                 1.2237,                 1.1834,                 1.6726,                0.00076,                0.00076,                0.00076
                    142,                0.59361,                0.48134,                 1.0989,                0.68989,                0.75007,                0.76362,                0.52415,                 1.2293,                 1.1428,                 1.6828,               0.000694,               0.000694,               0.000694
                    143,                0.58018,                0.46456,                 1.0814,                0.70878,                0.72856,                0.76292,                 0.5268,                 1.2307,                 1.1339,                 1.6834,               0.000628,               0.000628,               0.000628
                    144,                0.57494,                 0.4654,                 1.0814,                0.73809,                0.70101,                 0.7478,                0.51548,                 1.2329,                  1.167,                 1.6911,               0.000562,               0.000562,               0.000562
                    145,                 0.5707,                0.45742,                 1.0793,                0.70711,                0.71638,                0.74726,                0.51791,                 1.2215,                 1.1663,                 1.6858,               0.000496,               0.000496,               0.000496
                    146,                 0.5625,                0.43851,                 1.0776,                0.71373,                0.72035,                0.75608,                0.52374,                 1.2246,                 1.1588,                  1.684,                0.00043,                0.00043,                0.00043
                    147,                0.55893,                0.43277,                 1.0656,                0.72211,                0.71865,                0.75441,                0.52129,                 1.2256,                  1.155,                 1.6847,               0.000364,               0.000364,               0.000364
                    148,                0.54326,                0.43697,                 1.0585,                0.71906,                0.74277,                0.76254,                0.52781,                 1.2196,                 1.1323,                 1.6829,               0.000298,               0.000298,               0.000298
                    149,                0.55206,                0.43009,                 1.0644,                0.70489,                0.74568,                 0.7537,                0.52675,                 1.2174,                 1.1262,                 1.6851,               0.000232,               0.000232,               0.000232
